tornado_id,before_path,after_path,before_candidate_count,after_candidate_count,pair_status,warnings
TOR5,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR5_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR5_BEST_AFTER_win50d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR7,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR7_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR7_BEST_AFTER_win45d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR10,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR10_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR10_BEST_AFTER_win10d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR11,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR11_BEST_BEFORE_win35d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR11_BEST_AFTER_win35d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR12,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR12_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR12_BEST_AFTER_win10d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR13,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR13_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR13_BEST_AFTER_win10d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR15,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR15_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR15_BEST_AFTER_win45d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR16,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR16_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR16_BEST_AFTER_win15d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR18,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR18_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR18_BEST_AFTER_win20d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR24,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR24_BEST_BEFORE_win5d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR24_BEST_AFTER_win10d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR61,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR61_BEST_BEFORE_win45d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR61_BEST_AFTER_win40d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR62,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR62_BEST_BEFORE_win35d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR62_BEST_AFTER_win35d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR66,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR66_BEST_BEFORE_win35d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR66_BEST_AFTER_win50d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
TOR68,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR68_BEST_BEFORE_win55d.tif,/Users/m.mahin/Documents/New project 2/data/raw/rasters/TOR68_BEST_AFTER_win30d.tif,4,4,OK,multiple BEFORE candidates; multiple AFTER candidates
