tornado_id,window,read_status,positive_pixels,negative_pixels,sampled_positive,sampled_negative,error
TOR7,"Window(col_off=2048, row_off=1024, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2304, row_off=1024, width=179, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=0, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=256, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=512, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=768, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1024, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1280, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1536, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1792, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2048, row_off=1280, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2304, row_off=1280, width=179, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=0, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=256, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=512, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=768, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1024, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1280, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1536, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1792, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2048, row_off=1536, width=256, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2304, row_off=1536, width=179, height=82)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=0, row_off=0, width=256, height=256)",OK,0,65217,0,1200,
TOR10,"Window(col_off=256, row_off=0, width=256, height=256)",OK,0,65535,0,1200,
TOR10,"Window(col_off=512, row_off=0, width=256, height=256)",OK,0,65536,0,1200,
TOR10,"Window(col_off=768, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1024, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1280, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1536, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1792, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2048, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2304, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2560, row_off=0, width=175, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=0, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=256, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=512, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=768, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1024, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1280, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1536, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1792, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2048, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2304, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=2560, row_off=256, width=175, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=0, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=256, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=512, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=768, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1024, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1280, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR10,"Window(col_off=1536, row_off=512, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
