threshold,dice,iou,precision,recall
0.7000000000000002,0.22480680400048567,0.13410098185392622,0.19279180347003708,0.4010012485834291
0.6500000000000001,0.22214933112263077,0.13113890329590425,0.17619258520334105,0.4736796126188523
0.7500000000000002,0.21933260392514303,0.1318206853721218,0.20669542384022793,0.3344104801035244
0.6000000000000001,0.21110763993360052,0.12365962258974794,0.15757689966587407,0.5306165843747681
0.8000000000000003,0.2093548784199434,0.1252278563819435,0.22762987960770426,0.277644675904194
0.5500000000000002,0.19772525100844288,0.1152364925585361,0.13907457799896356,0.5771609506112484
0.8500000000000002,0.18754692854443805,0.11153551314246801,0.24468846262343533,0.21827108275615534
0.5000000000000001,0.173343915392606,0.09930517152396992,0.11113860978449663,0.6410426410036968
0.45000000000000007,0.1507885235583952,0.08481893668649619,0.09281047205227738,0.6753815863005866
0.4000000000000001,0.13550549264047604,0.07517036988636244,0.08098045043051169,0.6985931348454716
0.3500000000000001,0.12124726242074134,0.06641965597369769,0.070536128383102,0.7203317495256243
0.30000000000000004,0.10858523363360195,0.058878977840530415,0.0621337935587538,0.7447910629608626
0.25,0.098121909530422,0.052804062166855396,0.05513387460938901,0.7661940811378154
0.2,0.08338668734874072,0.04444530686370109,0.045887120954168206,0.796424736029161
0.15,0.0567169113363816,0.02988279063743036,0.0306599113851345,0.8500226152842967
