case_id,in_training_set,probability_mean,probability_max,status
TOR5,True,0.19730247557163239,0.9763591289520264,success
TOR7,False,0.13552619516849518,0.9051070213317871,success
TOR10,True,0.170576274394989,0.98831707239151,success
TOR11,False,0.1826789379119873,0.9983097314834595,success
TOR12,False,0.17993910610675812,0.9724063277244568,success
TOR13,False,0.17163458466529846,0.9975157976150513,success
TOR15,False,0.18641391396522522,0.9976292252540588,success
TOR16,False,0.21899758279323578,0.9412882924079895,success
TOR18,False,0.17226403951644897,0.9868980646133423,success
TOR24,False,0.24570085108280182,0.8070428967475891,success
TOR61,False,0.1533782035112381,0.9910967350006104,success
TOR62,False,0.22103239595890045,0.9959241151809692,success
TOR66,False,0.1546165645122528,0.9821922183036804,success
TOR68,False,0.26752325892448425,0.6918920278549194,success
TOR69,False,0.2805614769458771,0.6483893394470215,success
TOR70,True,0.3349296450614929,0.9304250478744507,success
TOR77,True,0.3025875687599182,0.7185849547386169,success
TOR78,True,0.23289619386196136,0.9730195999145508,success
TOR90,False,0.19901208579540253,0.8058121204376221,success
TOR91,True,0.17227444052696228,0.9769060015678406,success
TOR95,True,0.17708751559257507,0.991346538066864,success
TOR101,True,0.16556143760681152,0.9974011182785034,success
TOR102,False,0.2868008315563202,0.8721869587898254,success
TOR105,False,0.2704335153102875,0.5999064445495605,success
TOR111,True,0.19039417803287506,0.98204505443573,success
TOR112,True,0.20592275261878967,0.8211960792541504,success
TOR114,True,0.15381267666816711,0.9865556955337524,success
TOR115,True,0.16161754727363586,0.9914331436157227,success
TOR123,True,0.25310900807380676,0.7992891669273376,success
