agreement_within_150m_pct,case_id,dat_path_available,dat_polygon_available,dice,evaluation_type,median_centerline_distance_m,nws_dat_reference_available,official_coverage_within_150m_pct,official_reference_source,path_count,precision,recall,threshold
0.0,TOR5,True,False,0.488221037324285,training-set result,2176.3197363840386,True,0.0,NOAA/NWS Damage Assessment Toolkit (DAT),1,0.4313120931825968,0.5624301987938352,0.7170349955558777
76.5432098765432,TOR7,True,False,,unlabeled deployment inference,105.89577491706358,True,35.92039800995025,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.5730488896369934
8.870967741935484,TOR10,True,False,0.36761983131042997,training-set result,1964.0093962234648,True,13.812154696132598,NOAA/NWS Damage Assessment Toolkit (DAT),3,0.3056790968183373,0.4610423116615067,0.7826218605041504
81.05022831050228,TOR11,True,False,,unlabeled deployment inference,192.91284702657754,True,50.9493670886076,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.855641782283783
12.908496732026146,TOR12,True,False,,unlabeled deployment inference,3165.4791465463713,True,17.612809315866084,NOAA/NWS Damage Assessment Toolkit (DAT),3,,,0.729764997959137
34.86486486486486,TOR13,True,False,,unlabeled deployment inference,271.38085806339717,True,36.159844054580894,NOAA/NWS Damage Assessment Toolkit (DAT),2,,,0.7910294532775879
55.75620767494357,TOR15,True,False,,unlabeled deployment inference,110.42019413985096,True,35.96004439511653,NOAA/NWS Damage Assessment Toolkit (DAT),3,,,0.8275691270828247
34.946236559139784,TOR16,True,True,,unlabeled deployment inference,528.4666710988956,True,25.320512820512818,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.679055392742157
,TOR18,False,False,,unlabeled deployment inference,,False,,,1,,,0.7131853103637695
39.33649289099526,TOR24,True,False,,unlabeled deployment inference,203.92950937735745,True,28.095872170439414,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.604987382888794
81.06312292358804,TOR61,True,False,,unlabeled deployment inference,68.99534636045995,True,72.30290456431536,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.7432565093040466
,TOR62,False,False,,unlabeled deployment inference,,False,,,2,,,0.7894321084022522
40.04854368932039,TOR66,True,False,,unlabeled deployment inference,258.8074796032886,True,23.365487674169348,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.6377907395362854
35.26570048309179,TOR68,True,False,,unlabeled deployment inference,310.6438277492253,True,38.70967741935484,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.542282223701477
78.75647668393782,TOR69,True,False,,unlabeled deployment inference,145.83345330288057,True,27.131782945736433,NOAA/NWS Damage Assessment Toolkit (DAT),1,,,0.54410320520401
0.0,TOR70,True,False,0.16188125243601403,training-set result,11598.98059998514,True,0.0,NOAA/NWS Damage Assessment Toolkit (DAT),1,0.14886499402628434,0.17739179954441914,0.7089060544967651
0.0,TOR77,True,True,0.11791156632525605,training-set result,3991.492792776983,True,0.0,NOAA/NWS Damage Assessment Toolkit (DAT),1,0.1490840176879343,0.09752066115702479,0.578909158706665
,TOR78,False,False,0.4508641975308642,training-set result,,False,,,3,0.48941302599839187,0.417944609750515,0.8124455809593201
61.32404181184668,TOR90,True,False,,unlabeled deployment inference,107.31565684324889,True,55.58139534883721,NOAA/NWS Damage Assessment Toolkit (DAT),2,,,0.5792759656906128
,TOR91,False,False,0.6401803929990336,training-set result,,False,,,1,0.6133744855967078,0.6694363350550191,0.7516863346099854
,TOR95,False,False,0.37762443106739096,training-set result,,False,,,2,0.2746102925475123,0.6043233082706767,0.708778440952301
,TOR101,False,False,0.4914386584289497,training-set result,,False,,,1,0.37149719775820655,0.7257559958289885,0.7788456678390503
,TOR102,False,False,,unlabeled deployment inference,,False,,,3,,,0.6516116261482239
64.77987421383648,TOR105,True,False,,unlabeled deployment inference,128.4631702689583,True,33.45771144278607,NOAA/NWS Damage Assessment Toolkit (DAT),2,,,0.54317307472229
,TOR111,False,False,0.6182977875224238,training-set result,,False,,,2,0.6446384039900249,0.5940252776713902,0.7402970790863037
,TOR112,False,False,0.08515671200473093,training-set result,,False,,,2,0.04476220080820641,0.8727272727272727,0.5664478540420532
,TOR114,False,False,0.4460893605636315,training-set result,,False,,,1,0.35160972866582313,0.61,0.8209072351455688
,TOR115,False,False,0.41951604418726984,training-set result,,False,,,1,0.27879741303967837,0.847052575677111,0.683168351650238
69.83240223463687,TOR123,True,False,0.0003772161448509996,training-set result,84.94461339182317,True,26.055312954876275,NOAA/NWS Damage Assessment Toolkit (DAT),1,0.00040716612377850165,0.00035137034434293746,0.5115243196487427
