unet_weight,percentile,component_ratio,mean_dice,mean_precision,mean_recall
0.65,97.5,0.18,0.35885988368039456,0.31569616278796025,0.5107693628063156
0.65,97.5,0.25,0.3588133145825628,0.31699129947838384,0.5069986237414589
0.65,96.5,0.25,0.35826067390757643,0.2939668270524973,0.5672186207506128
0.65,97.5,0.12,0.358113397377168,0.31357617695456214,0.5107693628063156
0.65,96.5,0.18,0.35720074023068826,0.2907273047068078,0.5711878197662514
0.65,96.5,0.12,0.35669760689564306,0.2902489607201715,0.5711878197662514
0.65,97.5,0.32,0.35477112082764256,0.32123409193063185,0.4848887676532746
0.65,96.5,0.32,0.3536835625526631,0.29360024249954597,0.5560494954972094
0.8,97.5,0.12,0.3502660329232695,0.3139548980681011,0.48739531274980963
0.8,97.5,0.18,0.3502660329232695,0.3139548980681011,0.48739531274980963
0.8,97.5,0.25,0.3496118853929632,0.31651667693845326,0.48360472768987467
0.8,96.5,0.18,0.34794121810495565,0.28406633666694153,0.5594328048587239
0.8,96.5,0.12,0.34787250030805095,0.2838982338692183,0.5594328048587239
0.65,97.0,0.18,0.3476982977475564,0.2910691185139429,0.5409360430974284
0.65,97.0,0.12,0.3474020851919706,0.2909091346843327,0.5409360430974284
0.8,96.5,0.25,0.347344295722417,0.2841250870007703,0.5543034844183987
0.65,97.0,0.25,0.34719556000412344,0.291915733177853,0.5371454580374936
0.8,96.5,0.32,0.34680925603745416,0.2875204338202392,0.5473176941508747
0.65,97.0,0.32,0.34654845482904606,0.29562733891543086,0.5307550476223153
0.5,97.5,0.12,0.3463818887867254,0.3206894221830855,0.49895335607908275
0.8,97.5,0.32,0.3456563455325392,0.3191255461526389,0.46618136158229806
0.5,97.5,0.18,0.34533970866000535,0.32043634734531073,0.49436255214617353
0.5,97.5,0.25,0.34484881819331037,0.3214784322544682,0.49071088905178595
0.5,97.5,0.32,0.34423118198914787,0.3249021248428076,0.4847173985381716
0.65,96.0,0.12,0.34347020601983436,0.2762439913552321,0.5885935823033245
1.0,96.0,0.25,0.3431383112595109,0.2829015444223042,0.5649868158935286
0.8,97.0,0.18,0.34270136706441673,0.29535857735741383,0.5089168864213169
0.8,97.0,0.12,0.34262769865088105,0.2951608093046484,0.5089168864213169
0.5,98.0,0.12,0.34253488752926564,0.3148649511917107,0.4623643966364972
0.65,96.0,0.25,0.34252242611243033,0.2794392830341662,0.5679209053008469
1.0,96.0,0.18,0.3425023044020652,0.28167694339518473,0.569333088815653
0.65,96.0,0.18,0.34231987067578434,0.2778452179862715,0.5719496423017202
0.8,97.0,0.25,0.3422587066229186,0.29789582567990586,0.5041131715134647
0.5,98.0,0.18,0.3420351031940818,0.3160671038897834,0.45893103948796976
1.0,96.0,0.32,0.3415090582723304,0.28373035768022487,0.5576437977145972
0.5,98.0,0.25,0.3414842824393937,0.32499982628060065,0.43959111728427047
0.8,97.0,0.32,0.3412112568157276,0.2992235408984884,0.49750445515242625
0.65,96.0,0.32,0.33889053567806876,0.28186179043411486,0.5563884516161485
1.0,96.0,0.12,0.33885493779047426,0.2747145084846644,0.569333088815653
0.8,98.0,0.12,0.3387442817897919,0.343451286945679,0.43279774039470215
0.8,98.0,0.18,0.3387442817897919,0.343451286945679,0.43279774039470215
0.8,98.0,0.25,0.3387442817897919,0.343451286945679,0.43279774039470215
1.0,95.5,0.25,0.33821262897200227,0.27679428865051503,0.5732087032104461
1.0,96.5,0.12,0.3379117707103464,0.289205678338493,0.5411539511863672
1.0,96.5,0.18,0.3379117707103464,0.289205678338493,0.5411539511863672
1.0,97.5,0.12,0.3378245328088493,0.3067854506807725,0.46657473022361173
1.0,97.0,0.12,0.3375840870406652,0.2995374773377275,0.5091599397791818
1.0,97.5,0.32,0.3374921172746212,0.31043229779204873,0.4605124116291168
1.0,95.5,0.12,0.3374493975266163,0.2754489447877568,0.5776740521030397
1.0,97.0,0.18,0.33728127598576785,0.3071590899532221,0.5069591193133122
1.0,97.5,0.18,0.3369835383461259,0.30886218126639314,0.4643625346742863
1.0,97.5,0.25,0.3369835383461259,0.30886218126639314,0.4643625346742863
1.0,95.5,0.18,0.3369178379581179,0.2758586281576651,0.5732087032104461
1.0,95.5,0.32,0.33655313495054207,0.2771940311509885,0.5657466090610455
0.5,97.0,0.25,0.33651414914112365,0.28794832468173226,0.5141111045337378
0.5,98.0,0.32,0.3364415377940103,0.3215584443758879,0.43397462345537097
1.0,96.5,0.25,0.3359476767346316,0.29004280098323554,0.5352739766757293
0.8,96.0,0.18,0.3348330753905688,0.27988030265276687,0.5713595021434302
1.0,97.0,0.25,0.33480620683088574,0.30776368770484347,0.5005908830680336
1.0,97.0,0.32,0.33480620683088574,0.30776368770484347,0.5005908830680336
0.5,97.0,0.18,0.3346686646477902,0.280614203523291,0.5178024596182816
0.5,97.0,0.12,0.3345394870815946,0.28042804034520263,0.5178024596182816
0.8,95.5,0.12,0.33439034583479565,0.27263066101168076,0.5939713436677777
0.8,95.5,0.18,0.33439034583479565,0.27263066101168076,0.5939713436677777
0.65,98.0,0.18,0.334211080840412,0.32570977725195827,0.4487133299171096
1.0,96.5,0.32,0.33417174483722173,0.29099586080870643,0.5282088024278925
0.65,98.0,0.32,0.3341677577257893,0.3346729824523042,0.4451212048079567
0.65,98.0,0.12,0.3339038857031342,0.32554057434556455,0.4487133299171096
0.8,96.0,0.12,0.3334852154413305,0.2774731132622046,0.5713595021434302
0.8,98.0,0.32,0.33330836200432634,0.344813511613521,0.4151078709246469
0.65,98.0,0.25,0.3330692788261622,0.32661057194649273,0.4451212048079567
0.8,95.5,0.32,0.3329630730117794,0.28540630165585684,0.5777133037231178
0.5,96.0,0.25,0.332951806643367,0.26425261527408567,0.5626896268236233
0.5,96.0,0.32,0.332951806643367,0.26425261527408567,0.5626896268236233
0.5,96.0,0.18,0.3322512408897529,0.2630685254188762,0.5626896268236233
1.0,98.0,0.25,0.331782832960003,0.32224423100591637,0.4172000743317493
1.0,98.0,0.18,0.3317463507622441,0.32215604725664176,0.4172000743317493
0.8,95.5,0.25,0.3314063210666378,0.28456515075945266,0.5777133037231178
0.5,96.5,0.18,0.3313909142335818,0.26618443696020905,0.5497423633041858
0.5,97.0,0.32,0.33134351302616927,0.30894059522332173,0.49967032451972043
0.8,96.0,0.25,0.33126771340894295,0.28011521114299676,0.5630213270050719
0.8,96.0,0.32,0.3312529299950345,0.29071323854309994,0.5559164607670787
0.5,96.5,0.12,0.331043579335033,0.2655105656371787,0.5512620631165686
1.0,98.0,0.12,0.32948688991448716,0.3208039559709377,0.4172000743317493
0.5,96.5,0.32,0.3293202281582809,0.26694857513169035,0.5396010598192291
0.5,96.5,0.25,0.32905432360372455,0.2666108867292888,0.5396010598192291
0.5,96.0,0.12,0.32714742840421995,0.25465691215107017,0.5730889282445966
1.0,98.0,0.32,0.326713379824375,0.3233273413447979,0.4004592686977549
0.35,97.5,0.18,0.32265966549469255,0.2754325123966208,0.47489324630600876
0.65,95.5,0.12,0.3225213498235101,0.24834513280560613,0.5947828683701126
0.65,95.5,0.18,0.3225213498235101,0.24834513280560613,0.5947828683701126
0.35,97.5,0.12,0.3209747593482152,0.2722921375361364,0.47966479055123723
0.65,95.5,0.25,0.32063679926756194,0.2482087510314825,0.5877573861124322
0.35,98.0,0.12,0.3200990760769595,0.28549262095888817,0.4296631265720239
0.35,98.0,0.18,0.3200990760769595,0.28549262095888817,0.4296631265720239
0.35,97.5,0.32,0.3191482807932236,0.2804077060737189,0.4546165664089611
0.35,97.5,0.25,0.31750483351443026,0.2794445175817555,0.4546165664089611
0.65,95.5,0.32,0.3173867389400512,0.2586024721684214,0.5788484648665917
0.35,98.0,0.25,0.3142054397108955,0.2825428238922896,0.42054284933968916
0.35,98.0,0.32,0.3141319740037253,0.2867486775013219,0.4149859707177951
0.35,96.5,0.32,0.3104572519853869,0.2468037970051096,0.5169474956446414
0.5,95.5,0.25,0.30750611767515684,0.23483768209818573,0.5590732768822269
0.5,95.5,0.32,0.30460778800283816,0.23461331323154505,0.5429194307283807
0.5,95.5,0.18,0.3038203826972649,0.22879344728091178,0.5630821678880219
0.35,97.0,0.12,0.3034291330354283,0.24452903440483167,0.5160547901135512
0.35,97.0,0.25,0.3028525484482669,0.25166271304176707,0.49273961372309316
0.35,96.5,0.12,0.3027037275769229,0.23255673683360628,0.5345030930029155
0.35,96.5,0.25,0.3017848748433721,0.23626939562528282,0.5169474956446414
0.5,95.5,0.12,0.30033125269471483,0.2213934439584244,0.5763230726994306
0.35,96.5,0.18,0.2998869369678575,0.233145328482475,0.5208968486652019
0.35,97.0,0.18,0.2985063336714387,0.24427630222306052,0.4963912768174807
0.35,97.0,0.32,0.29821941559058723,0.24820926062651386,0.48659492298238505
0.35,96.0,0.32,0.2894393574134061,0.23212609829317382,0.5043747008023913
0.35,96.0,0.12,0.28797393528126514,0.21771582241327642,0.5418190433557185
0.35,96.0,0.25,0.2875517073821316,0.22302541033391246,0.5158661520777499
0.35,96.0,0.18,0.28520344450295426,0.21745472676946567,0.5257693036217682
0.35,95.5,0.12,0.26301768289819727,0.19286191734225172,0.5301624555512997
0.35,95.5,0.25,0.26272789416143216,0.19625962212482634,0.5135882145188544
0.35,95.5,0.18,0.26193366916207544,0.1924773046451308,0.5235112120579509
0.35,95.5,0.32,0.2595658232625285,0.19593878771497084,0.49642288323529116
